drug_name,tokens,labels
dexamethasone,"['[H]', '[C@@]12', 'C[C@@H](C)', '[C@](O)(', 'C(=O)', 'CO)', '[C@@]1', '(C)C', '[C@H](O)', '[C@@]1', '(F)', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'C=C', '[C@]12C']","[917, 822, 564, 883, 146, 548, 817, 40, 854, 817, 47, 824, 917, 59, 410, 111, 312, 889]"
zoledronic acid,"['OC(', 'CN1', 'C=', 'CN', '=', 'C1)', '(', 'P(O)(O)=O)', 'P(O)(O)', '=O']","[685, 530, 311, 519, 92, 253, 31, 741, 740, 120]"
terazosin,"['CO', 'C1=C(', 'OC)', 'C=C2', 'C(N)=N', 'C(=N', 'C2=', 'C1)', 'N1CCN(', 'CC1)', 'C(=O)C1', 'CCCO', '1']","[547, 260, 692, 317, 223, 143, 286, 253, 619, 369, 149, 455, 71]"
sevoflurane,"['F', 'COC(', 'C(F)(F)F)', 'C(F)(F)F']","[585, 552, 219, 218]"
trifluridine,"['OC[C@H]1', 'O[C@H](', 'C[C@@H]1', 'O)', 'N1', 'C=C(', 'C(=O)N', 'C1=O)', 'C(F)(F)F']","[717, 725, 568, 671, 609, 313, 152, 267, 218]"
ketoconazole,"['CC(=O)N1CCN(', 'CC1)', 'C1=', 'CC', '=C(', 'OCC2', 'COC(', 'CN3', 'C=', 'CN', '=C', '3)', '(O', '2)', 'C2=', 'CC', '=C(', 'Cl)', 'C=C2', 'Cl)', 'C=C1']","[332, 369, 258, 324, 94, 704, 552, 539, 311, 519, 93, 78, 53, 74, 286, 324, 94, 584, 317, 584, 316]"
allopurinol,"['O', 'C1=N', 'C=N', 'C2', '=C1', 'C=N', 'N2']","[670, 265, 322, 281, 106, 322, 622]"
chlordiazepoxide,"['CN', 'C1=N', 'C2=C(', 'C=C(', 'Cl)', 'C=C', '2)', 'C(', 'C2=', 'CC=', 'CC', '=C', '2)', '=', '[N+]([O-])', 'C1']","[519, 265, 287, 313, 584, 312, 74, 139, 286, 388, 324, 93, 74, 92, 930, 249]"
linezolid,"['CC(=O)N', 'C[C@H]1CN(', 'C(=O)O', '1)', 'C1=', 'CC', '(F)', '=C(', 'C=', 'C1)', 'N1CCOCC1']","[329, 578, 180, 72, 258, 324, 47, 94, 311, 253, 620]"
duloxetine,"['CN', 'CC[C@H](', 'O', 'C1=', 'CC=', 'CC2', '=', 'CC=', 'CC', '=C1', '2)', 'C1=', 'CC', '=C', 'S1']","[519, 510, 670, 258, 388, 377, 92, 388, 324, 106, 74, 258, 324, 93, 754]"
timolol,"['[H]', '[C@](O)(', 'CN', 'C(C)(C)C)', 'CO', 'C1=N', 'S', 'N=C1', 'N1CCOCC1']","[917, 883, 519, 199, 547, 265, 742, 640, 620]"
dextropropoxyphene,"['CCC(=O)O', '[C@@](', 'CC1=', 'CC=', 'CC=', 'C1)', '(', '[C@H](C)', 'CN(C)C)', 'C1=', 'CC=', 'CC', '=C1']","[396, 814, 371, 388, 388, 253, 31, 842, 526, 258, 388, 324, 106]"
perindopril,"['[H]', '[C@]12', 'C[C@H](', 'N(C(=O)', '[C@H](C)', 'N[C@@H](', 'CCC)', 'C(=O)OCC)', '[C@@]1(', '[H]', ')', 'CCCC2)', 'C(O)=O']","[917, 888, 571, 594, 842, 667, 405, 186, 818, 917, 59, 424, 234]"
tromethamine,"['NC(', 'CO)', '(CO)', 'CO']","[643, 548, 45, 547]"
lutein,"['C', '\\', 'C(\\', 'C=C\\', 'C', '=C(/', 'C)', '\\', 'C=C\\', '[C@H]1', 'C(C)', '=C', '[C@H](O)', 'CC1', '(C)C)', '=C', '/C=C', '/C=C(\\C)', '/C=C', '/C=C(\\C)', '/C=C/', 'C1=C(C)', 'C[C@@H](O)', 'CC1(C)C']","[134, 957, 240, 321, 134, 95, 241, 957, 321, 862, 195, 93, 854, 365, 41, 93, 65, 66, 65, 66, 67, 261, 567, 368]"
cariprazine,"['CN(C)', 'C(=O)N', '[C@H]1CC[C@H](', 'CC', 'N2CCN(', 'CC2)', 'C2=C(', 'Cl)', 'C(Cl)', '=', 'CC', '=C', '2)CC1']","[523, 152, 865, 324, 629, 379, 287, 584, 214, 92, 324, 93, 76]"
dobutamine,"['CC(', 'CCC1', '=', 'CC', '=C(O)', 'C=', 'C1)', 'N', 'CCC1', '=', 'CC(O)', '=C(O)', 'C=C1']","[327, 406, 92, 324, 100, 311, 253, 590, 406, 92, 360, 100, 316]"
alvimopan,"['C[C@H]1CN(', 'C[C@H](', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'C(=O)N', 'CC(O)=O)', 'CC', '[C@@]1(C)', 'C1=', 'CC(O)', '=', 'CC', '=C1']","[578, 571, 377, 92, 388, 324, 93, 74, 152, 362, 324, 819, 258, 360, 92, 324, 106]"
darunavir,"['[H]', '[C@@]12', 'CCO', '[C@]1(', '[H]', ')', 'OC', '[C@@H]2O', 'C(=O)N[C@@H](', 'CC1=', 'CC=', 'CC=', 'C1)', '[C@H](O)', 'CN(', 'CC(C)C)', 'S(=O)(=O)', 'C1=', 'CC', '=C(N)', 'C=C1']","[917, 822, 491, 885, 917, 59, 684, 807, 174, 371, 388, 388, 253, 854, 520, 348, 745, 258, 324, 99, 316]"
sofosbuvir,"['CC(C)', 'OC(=O)', '[C@H](C)N', '[P@]', '(=O)', '(', 'OC[C@H]1O[C@@H](', 'N2', 'C=', 'CC(=O)N', 'C2=O)', '[C@]', '(C)', '(F)', '[C@@H]1O)', 'O', 'C1=', 'CC=', 'CC', '=C1']","[341, 686, 844, 947, 32, 31, 718, 622, 311, 329, 291, 879, 37, 47, 804, 670, 258, 388, 324, 106]"
granisetron,"['CN1', 'N=C(', 'C(=O)N', '[C@@H]2', 'C[C@@H]3', 'CCC[C@H](', 'C2)', 'N3', 'C)', 'C2', '=C1', 'C=', 'CC', '=C2']","[530, 636, 152, 805, 570, 460, 284, 631, 241, 281, 106, 311, 324, 108]"
sertraline,"['CN', '[C@H]1', 'CC[C@@H](', 'C2=', 'CC(', 'Cl)', '=C(', 'Cl)', 'C=C', '2)', 'C2=', 'CC=', 'CC', '=C1', '2']","[519, 862, 504, 286, 327, 584, 94, 584, 312, 74, 286, 388, 324, 106, 73]"
benzthiazide,"['NS(=O)(=O)', 'C1=', 'CC2', '=C(', 'C=C1', 'Cl)', 'N=C(', 'CS', 'CC1=', 'CC=', 'CC=', 'C1)', 'N', 'S2(=O)=O']","[666, 258, 377, 94, 316, 584, 636, 560, 371, 388, 388, 253, 590, 757]"
thiopental,"['CCCC(C)', 'C1(', 'CC)', 'C(=O)N', 'C(=S)N', 'C1=O']","[419, 250, 364, 152, 189, 266]"
cholecalciferol,"['CC(C)', 'CCC', '[C@@H](C)', '[C@@]1(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', '\\', 'C(', 'CCC', '[C@]12', 'C)', '=C\\', 'C=C1', '\\', 'C[C@@H](O)', 'CCC1', '=C']","[341, 391, 783, 818, 917, 59, 324, 824, 917, 59, 957, 139, 391, 888, 241, 112, 316, 957, 567, 406, 93]"
clobazam,"['CN1', 'C2=C(', 'C=C(', 'Cl)', 'C=C', '2)', 'N(', 'C2=', 'CC=', 'CC', '=C', '2)', 'C(=O)', 'CC1=O']","[530, 287, 313, 584, 312, 74, 592, 286, 388, 324, 93, 74, 146, 374]"
cefradine,"['[H]', '[C@]12', 'S', 'CC(C)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)[C@H](', 'N)', 'C1=', 'CCC', '=', 'CC1)', 'C(O)=O']","[917, 888, 742, 341, 94, 613, 870, 655, 606, 258, 391, 92, 369, 234]"
cevimeline,"['CC1', 'O', '[C@@]2(', 'CS', '1)', 'CN1', 'CCC2', 'CC1']","[365, 670, 824, 560, 72, 530, 410, 365]"
phylloquinone,"['CC(C)', 'CCC', '[C@@H](C)', 'CCC', '[C@@H](C)', 'CCC', '\\', 'C(C)', '=C\\', 'CC1', '=C(C)', 'C(=O)', 'C2=C(', 'C=', 'CC', '=C', '2)', 'C1=O']","[341, 391, 783, 391, 783, 391, 957, 195, 112, 365, 97, 146, 287, 311, 324, 93, 74, 266]"
sorbitol,"['OC', '[C@H](O)[C@@H](O)[C@H](O)', '[C@H](O)', 'CO']","[684, 856, 854, 547]"
phenobarbital,"['CCC1(', 'C(=O)NC(=O)N', 'C1=O)', 'C1=', 'CC=', 'CC', '=C1']","[407, 168, 267, 258, 388, 324, 106]"
trospium,"['[H]', '[C@]12', 'CC', '[C@](', '[H]', ')', '(', 'C[C@@H](', 'C1)', 'OC(=O)', 'C(O)(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC=', 'C1)', '[N+]2', '1', 'CCCC1']","[917, 888, 324, 880, 917, 59, 31, 563, 253, 686, 232, 258, 388, 388, 253, 258, 388, 388, 253, 934, 71, 421]"
sorafenib,"['CNC(=O)', 'C1=N', 'C=', 'CC(O', 'C2=', 'CC', '=C(', 'NC(=O)N', 'C3=', 'CC(', '=C(', 'Cl)', 'C=C', '3)', 'C(F)(F)F)', 'C=C', '2)', '=C1']","[543, 265, 311, 359, 286, 324, 94, 651, 299, 327, 94, 584, 312, 78, 219, 312, 74, 106]"
dihydrotachysterol,"['CC(C)', '[C@@H](C)', '\\', 'C=C\\', '[C@@H](C)', '[C@@]1(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', '\\', 'C(', 'CCC', '[C@]12', 'C)', '=C\\', 'C=C1', '/C', '[C@@H](O)', 'CC[C@@H]1', 'C']","[341, 783, 957, 321, 783, 818, 917, 59, 324, 824, 917, 59, 957, 139, 391, 888, 241, 112, 316, 62, 795, 507, 134]"
ceftizoxime,"['[H]', '[C@]12', 'S', 'CC', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)C(', '=N/', 'OC)', '\\', 'C1=C', 'S', 'C(N)', '=N1', ')', 'C(O)=O']","[917, 888, 742, 324, 94, 613, 870, 648, 116, 692, 957, 259, 742, 222, 117, 59, 234]"
hydromorphone,"['[H]', '[C@@]12', 'OC3', '=C(O)', 'C=', 'CC4', '=C3', '[C@@]1', '1', 'CCN(C)', '[C@](', '[H]', ')', '(C', '4)', '[C@]1(', '[H]', ')', 'CCC2', '=O']","[917, 822, 696, 100, 311, 385, 109, 817, 71, 467, 880, 917, 59, 36, 82, 885, 917, 59, 410, 120]"
anidulafungin,"['[H]', '[C@]1(', 'NC(=O)', '[C@@H](NC(=O)', '[C@@H]2', 'C[C@@H](O)', 'CN2C(=O)', '[C@@H](', 'NC(=O)[C@H](', 'C[C@@H](O)', '[C@@H](O)', 'NC(=O)', '[C@@H]2', '[C@@H](O)', '[C@@H](C)', 'CN2', 'C1=O)', 'NC(=O)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C1=', 'CC', '=C(', 'OCCCC', 'C)', 'C=', 'C1)', '[C@@H](C)O)', '[C@H](O)[C@@H](O)', 'C1=', 'CC', '=C(O)', 'C=', 'C1)', '[C@@H](C)', 'O']","[917, 885, 646, 793, 805, 567, 536, 781, 655, 567, 795, 646, 805, 795, 783, 535, 267, 646, 258, 324, 94, 311, 253, 258, 324, 94, 311, 253, 258, 324, 94, 706, 241, 311, 253, 785, 855, 258, 324, 100, 311, 253, 783, 670]"
tetrofosmin,"['CCOCC', 'P(', 'CCOCC', ')', 'CC', 'P(', 'CCOCC', ')', 'CCOCC']","[497, 735, 497, 59, 324, 735, 497, 59, 497]"
ketorolac,"['OC(=O)', 'C1', 'CCN2', 'C1=', 'CC', '=C2', 'C(=O)', 'C1=', 'CC=', 'CC', '=C1']","[686, 249, 484, 258, 324, 108, 146, 258, 388, 324, 106]"
lactitol,"['OC', '[C@H](O)[C@@H](O)', '[C@H](', 'O[C@@H]1', 'O[C@H](CO)', '[C@H](O)[C@H](O)', '[C@H]1O)', '[C@H](O)', 'CO']","[684, 855, 839, 722, 728, 858, 868, 854, 547]"
abarelix,"['CC(C)C[C@H](NC(=O)', '[C@@H](', 'CC(N)=O)', 'NC(=O)[C@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'N(C)C(=O)', '[C@H](CO)', 'NC(=O)[C@@H](', 'CC1=', 'CN', '=', 'CC=', 'C1)', 'NC(=O)[C@@H](', 'CC1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', 'NC(=O)[C@@H](', 'CC1=', 'CC2', '=C(', 'C=', 'CC', '=C', '2)', 'C=', 'C1)', 'NC(C)=O)', 'C(=O)N[C@@H](', 'CCCCN', 'C(C)C)', 'C(=O)N1CCC[C@H]1', 'C(=O)N', '[C@H](C)', 'C(N)=O']","[349, 781, 357, 655, 371, 324, 100, 311, 253, 598, 849, 653, 371, 519, 92, 388, 253, 653, 371, 324, 94, 584, 311, 253, 653, 371, 377, 94, 311, 324, 93, 74, 311, 253, 658, 174, 439, 206, 159, 152, 842, 225]"
lutetium lu 177 dotatate,"['[177Lu+3]', '.', 'C[C@@H](O)', '[C@H](NC(=O)', '[C@@H]1', 'CS', 'S', 'C[C@H](NC(=O)', '[C@@H](', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'NC(=O)', 'CN2CCN(', 'CC(', '[O-])', '=O)', 'CCN(', 'CC(', '[O-])', '=O)', 'CCN(', 'CC(', '[O-])', '=O)CC2)', 'C(=O)N[C@@H](', 'CC2', '=', 'CC', '=C(O)', 'C=C', '2)', 'C(=O)N[C@H](', 'CC2', '=', 'CN', 'C3', '=C2', 'C=', 'CC', '=C', '3)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', '[C@@H](C)O)', 'C(=O)N', '1)', 'C(O)=O']","[767, 60, 567, 852, 801, 560, 742, 575, 781, 377, 92, 388, 324, 93, 74, 646, 538, 327, 945, 121, 464, 327, 945, 121, 464, 327, 945, 126, 174, 377, 92, 324, 100, 312, 74, 178, 377, 92, 519, 295, 108, 311, 324, 93, 78, 174, 441, 174, 785, 152, 72, 234]"
isoniazid,"['N', 'NC(=O)', 'C1=', 'CC', '=N', 'C=C1']","[590, 646, 258, 324, 113, 316]"
sugammadex,"['O[C@@H]1', '[C@@H](O)', '[C@@H]2O', '[C@H]3', 'O[C@H](', 'CS', 'CCC(O)=O)', '[C@@H](O', '[C@H]4', 'O[C@H](', 'CS', 'CCC(O)=O)', '[C@@H](O', '[C@H]5', 'O[C@H](', 'CS', 'CCC(O)=O)', '[C@@H](O', '[C@H]', '6', 'O[C@H](', 'CS', 'CCC(O)=O)', '[C@@H](O', '[C@H]', '7', 'O[C@H](', 'CS', 'CCC(O)=O)', '[C@@H](O', '[C@H]', '8', 'O[C@H](', 'CS', 'CCC(O)=O)', '[C@@H](O', '[C@H]', '9', 'O[C@H](', 'CS', 'CCC(O)=O)', '[C@@H](O', '[C@H]1O', '[C@@H]2', 'CS', 'CCC(O)=O)', '[C@H](O)', '[C@H]', '9', 'O)', '[C@H](O)', '[C@H]', '8', 'O)', '[C@H](O)', '[C@H]', '7', 'O)', '[C@H](O)', '[C@H]', '6', 'O)', '[C@H](O)', '[C@H]5', 'O)', '[C@H](O)', '[C@H]4', 'O)', '[C@H](O)', '[C@H]3', 'O']","[722, 795, 807, 875, 725, 560, 404, 794, 877, 725, 560, 404, 794, 878, 725, 560, 404, 794, 838, 87, 725, 560, 404, 794, 838, 89, 725, 560, 404, 794, 838, 90, 725, 560, 404, 794, 838, 91, 725, 560, 404, 794, 867, 805, 560, 404, 854, 838, 91, 671, 854, 838, 90, 671, 854, 838, 89, 671, 854, 838, 87, 671, 854, 878, 671, 854, 877, 671, 854, 875, 670]"
avatrombopag,"['OC(=O)', 'C1CCN(', 'CC1)', 'C1=C(', 'Cl)', 'C=C(', 'C=', 'N1)', 'C(=O)N', 'C1=N', 'C(', 'C2=', 'CC(', 'Cl)', '=C', 'S', '2)', '=C(', 'S', '1)', 'N1CCN(', 'CC1)', 'C1CCCCC1']","[686, 279, 369, 260, 584, 313, 311, 610, 152, 265, 139, 286, 327, 584, 93, 742, 74, 94, 742, 72, 619, 369, 277]"
rifabutin,"['CO[C@H]1', '\\', 'C=C\\', 'O', '[C@@]2(C)', 'OC3', '=C(', 'C2=O)', 'C2=C(', 'C(O)', '=C', '3C)', 'C(=O)C(', 'NC(=O)', '\\', 'C(C)', '=C/C=C/', '[C@H](C)', '[C@H](O)', '[C@@H](C)', '[C@@H](O)', '[C@@H](C)', '[C@H](OC(C)=O)', '[C@@H]1', 'C)', '=C1', 'N', 'C3(', 'CCN(', 'CC3)', 'CC(C)C)', 'N=C2', '1']","[559, 957, 321, 670, 825, 696, 94, 291, 287, 231, 93, 80, 148, 646, 957, 195, 105, 842, 854, 783, 795, 783, 860, 801, 241, 106, 590, 296, 464, 383, 348, 641, 71]"
ergocalciferol,"['CC(C)', '[C@@H](C)', '\\', 'C=C\\', '[C@@H](C)', '[C@@]1(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', '\\', 'C(', 'CCC', '[C@]12', 'C)', '=C\\', 'C=C1', '\\', 'C[C@@H](O)', 'CCC1', '=C']","[341, 783, 957, 321, 783, 818, 917, 59, 324, 824, 917, 59, 957, 139, 391, 888, 241, 112, 316, 957, 567, 406, 93]"
nafcillin,"['[H]', '[C@]12', 'S', 'C(C)(C)', '[C@@H](', 'N1C(=O)', '[C@H]2', 'NC(=O)', 'C1=C(', 'OCC)', 'C=', 'CC2', '=', 'CC=', 'CC', '=C1', '2)', 'C(O)=O']","[917, 888, 742, 197, 781, 613, 870, 646, 260, 702, 311, 377, 92, 388, 324, 106, 74, 234]"
benzatropine,"['[H]', '[C@]12', 'CC', '[C@](', '[H]', ')', '(C', '[C@@](', '[H]', ')', '(', 'C1)', 'OC(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC=', 'C1)', 'N2C']","[917, 888, 324, 880, 917, 59, 36, 814, 917, 59, 31, 253, 685, 258, 388, 388, 253, 258, 388, 388, 253, 624]"
vancomycin,"['CN', '[C@H](CC(C)C)', 'C(=O)N[C@@H]1', '[C@H](O)', 'C2=', 'CC', '=C(', 'OC3', '=C(', 'O', '[C@@H]4', 'O[C@H](CO)[C@@H](O)[C@H](O)', '[C@H]4', 'O', '[C@H]4', 'C', '[C@](C)(', 'N)', '[C@H](O)', '[C@H](C)', 'O4)', 'C4', '=', 'CC(', '=C', '3)', '[C@@H](', 'NC(=O)[C@H](', 'CC(N)=O)', 'N', 'C1=O)', 'C(=O)N[C@@H]1', 'C3=', 'CC(', '=C(O)', 'C=C', '3)', 'C3', '=C(O)', 'C=C(', 'O)', 'C=C3', '[C@H](NC(=O)', '[C@@H](N', 'C1=O)', '[C@H](O)', 'C1=', 'CC(', 'Cl)', '=C(', 'O4)', 'C=', 'C1)', 'C(O)=O)', 'C(Cl)', '=C2']","[519, 846, 177, 854, 286, 324, 94, 696, 94, 670, 811, 730, 877, 670, 877, 134, 881, 606, 854, 842, 677, 305, 92, 327, 93, 78, 781, 655, 357, 590, 267, 177, 299, 327, 100, 312, 78, 295, 100, 313, 671, 318, 852, 791, 267, 854, 258, 327, 584, 94, 677, 311, 253, 235, 214, 108]"
novobiocin,"['CO[C@@H]1', '[C@@H](O', 'C(N)=O)', '[C@@H](O)', '[C@H](', 'OC2', '=C(C)', 'C3=C(', 'C=C', '2)', 'C(O)=C(', 'NC(=O)', 'C2=', 'CC', '=C(O)', 'C(', 'CC=C(C)C)', '=C', '2)', 'C(=O)O', '3)', 'OC1', '(C)C']","[558, 794, 226, 795, 839, 695, 97, 300, 312, 74, 233, 646, 286, 324, 100, 139, 389, 93, 74, 180, 78, 693, 40]"
cholic acid,"['[H]', '[C@@](C)(', 'CCC(O)=O)', '[C@@]1(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', '[C@]3(', '[H]', ')', '[C@](', '[H]', ')', '(O)', 'C', '[C@]4', '(', '[H]', ')', 'C', '[C@](', '[H]', ')', '(O)', 'CC[C@]4(C)', '[C@@]3(', '[H]', ')', 'C', '[C@](', '[H]', ')', '(O)', '[C@]12C']","[917, 815, 404, 818, 917, 59, 324, 824, 917, 59, 894, 917, 59, 880, 917, 59, 54, 134, 898, 31, 917, 59, 134, 880, 917, 59, 54, 518, 830, 917, 59, 134, 880, 917, 59, 54, 889]"
vorapaxar,"['[H]', '[C@@]12', 'C', '[C@]3(', '[H]', ')', 'C[C@@H](', 'CC', '[C@@]3(', '[H]', ')', '[C@H](', '\\', 'C=C\\', 'C3=', 'CC', '=C(', 'C=N', '3)', 'C3=', 'CC', '(F)', '=', 'CC', '=C', '3)', '[C@]1(', '[H]', ')', '[C@@H](C)', 'O', 'C2=O)', 'NC(=O)', 'OCC']","[917, 822, 134, 894, 917, 59, 563, 324, 830, 917, 59, 839, 957, 321, 299, 324, 94, 322, 78, 299, 324, 47, 92, 324, 93, 78, 885, 917, 59, 783, 670, 291, 646, 698]"
febuxostat,"['CC(C)', 'CO', 'C1=C(', 'C=C(', 'C=', 'C1)', 'C1=N', 'C(C)=C(', 'S', '1)', 'C(O)=O)', 'C#N']","[341, 547, 260, 313, 311, 253, 265, 202, 742, 72, 235, 137]"
cefadroxil,"['[H]', '[C@]12', 'S', 'CC(C)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)[C@H](', 'N)', 'C1=', 'CC', '=C(O)', 'C=', 'C1)', 'C(O)=O']","[917, 888, 742, 341, 94, 613, 870, 655, 606, 258, 324, 100, 311, 253, 234]"
acebutolol,"['CCCC(=O)N', 'C1=', 'CC', '=C(', 'OCC(O)', 'CN', 'C(C)C)', 'C(=', 'C1)', 'C(C)=O']","[418, 258, 324, 94, 701, 519, 206, 140, 253, 203]"
cefixime,"['[H]', '[C@]12', 'S', 'CC(', 'C=C)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)C(', '=N/', 'OCC', '(O)=O)', '\\', 'C1=C', 'S', 'C(N)', '=N1', ')', 'C(O)=O']","[917, 888, 742, 327, 315, 94, 613, 870, 648, 116, 698, 57, 957, 259, 742, 222, 117, 59, 234]"
medroxyprogesterone acetate,"['[H]', '[C@@]12', 'CC', '[C@](', 'OC(C)=O)', '(', 'C(C)=O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'C[C@H](C)', 'C2=', 'CC(=O)', 'CC', '[C@]12C']","[917, 822, 324, 880, 690, 31, 204, 820, 818, 917, 59, 824, 917, 59, 572, 286, 328, 324, 889]"
diethylpropion,"['CCN(CC)', 'C(C)', 'C(=O)', 'C1=', 'CC=', 'CC', '=C1']","[476, 195, 146, 258, 388, 324, 106]"
procaine,"['CCN(CC)', 'CCOC(=O)', 'C1=', 'CC', '=C(N)', 'C=C1']","[476, 495, 258, 324, 99, 316]"
etonogestrel,"['[H]', '[C@@]12', 'CC', '[C@@](O)(', 'C#', 'C)', '[C@@]1', '(CC)', 'CC(', '=C)', '[C@]1(', '[H]', ')', '[C@@]3(', '[H]', ')', 'CCC(=O)', 'C=C3', 'CC', '[C@@]21', '[H]']","[917, 822, 324, 816, 135, 241, 817, 44, 327, 102, 885, 917, 59, 830, 917, 59, 393, 318, 324, 827, 917]"
eplerenone,"['[H]', '[C@@]12', 'CC', '[C@@]3', '(CC', 'C(=O)O', '3)', '[C@@]1', '(C)C', '[C@H]1O', '[C@@]1', '1', '[C@@]2(', '[H]', ')', '[C@@H](', 'CC2', '=CC(=O)', 'CC', '[C@]12', 'C)', 'C(=O)OC']","[917, 822, 324, 829, 43, 180, 78, 817, 40, 867, 817, 71, 824, 917, 59, 781, 377, 111, 324, 888, 241, 183]"
torasemide,"['CC(C)', 'NC(=O)N', 'S(=O)(=O)', 'C1=C(', 'N', 'C2=', 'CC=', 'CC(C)', '=C', '2)', 'C=', 'CN', '=C1']","[341, 651, 745, 260, 590, 286, 388, 341, 93, 74, 311, 519, 106]"
nitazoxanide,"['CC(=O)O', 'C1=', 'CC=', 'CC', '=C1', 'C(=O)N', 'C1=N', 'C=C(', 'S', '1)', '[N+]([O-])=O']","[336, 258, 388, 324, 106, 152, 265, 313, 742, 72, 931]"
clozapine,"['CN1CCN(', 'CC1)', 'C1=N', 'C2=', 'CC(', 'Cl)', '=', 'CC', '=C2', 'N', 'C2=', 'CC=', 'CC', '=C1', '2']","[534, 369, 265, 286, 327, 584, 92, 324, 108, 590, 286, 388, 324, 106, 73]"
calcium gluconate,"['[Ca++]', '.', '[H]', '[C@@](O)(', 'CO)', '[C@@](', '[H]', ')', '(O)', '[C@](', '[H]', ')', '(O)', '[C@@](', '[H]', ')', '(O)', 'C(', '[O-])', '=O', '.', '[H]', '[C@@](O)(', 'CO)', '[C@@](', '[H]', ')', '(O)', '[C@](', '[H]', ')', '(O)', '[C@@](', '[H]', ')', '(O)', 'C(', '[O-])', '=O']","[902, 60, 917, 816, 548, 814, 917, 59, 54, 880, 917, 59, 54, 814, 917, 59, 54, 139, 945, 120, 60, 917, 816, 548, 814, 917, 59, 54, 880, 917, 59, 54, 814, 917, 59, 54, 139, 945, 120]"
prazosin,"['CO', 'C1=C(', 'OC)', 'C=C2', 'C(N)=N', 'C(=N', 'C2=', 'C1)', 'N1CCN(', 'CC1)', 'C(=O)', 'C1=', 'CC=', 'CO1']","[547, 260, 692, 317, 223, 143, 286, 253, 619, 369, 146, 258, 388, 549]"
docetaxel,"['[H]', '[C@@]1', '(C', '[C@@]2(O)', '[C@@H](OC(=O)', 'C3=', 'CC=', 'CC', '=C', '3)', '[C@]3(', '[H]', ')', '[C@@]4', '(', 'CO', '[C@@H]4', 'C[C@H](O)', '[C@@]3(C)', 'C(=O)', '[C@H](O)', 'C(=', 'C1', 'C)', 'C2(C)C)', 'OC(C)=O)', 'OC(=O)', '[C@H](O)', '[C@@H](NC(=O)', 'OC(C)(C)C)', 'C1=', 'CC=', 'CC', '=C1']","[917, 817, 36, 826, 798, 299, 388, 324, 93, 78, 894, 917, 59, 835, 31, 547, 811, 576, 831, 146, 854, 140, 249, 241, 283, 690, 686, 854, 793, 689, 258, 388, 324, 106]"
remdesivir,"['CCC(CC)', 'COC(=O)', '[C@H](C)N', '[P@]', '(=O)', '(', 'OC', '[C@H]1O', '[C@](', 'C#N)', '(', '[C@H](O)', '[C@@H]1O)', 'C1=', 'CC', '=C2', 'N1', 'N=', 'CN', '=C2', 'N)', 'O', 'C1=', 'CC=', 'CC', '=C1']","[399, 553, 844, 947, 32, 31, 684, 867, 880, 138, 31, 854, 804, 258, 324, 108, 609, 634, 519, 108, 606, 670, 258, 388, 324, 106]"
lisdexamfetamine,"['C[C@@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'NC(=O)', '[C@@H](N)', 'CCCCN']","[563, 371, 388, 388, 253, 646, 792, 439]"
troleandomycin,"['CO[C@H]1', 'C[C@H](', 'O[C@H]2', '[C@H](C)', '[C@@H](O', '[C@@H]3', 'O', '[C@H](C)C', '[C@@H](', '[C@H]3', 'OC(C)=O)', 'N(C)C)', '[C@@H](C)C', '[C@@]3(', 'CO', '3)', 'C(=O)', '[C@H](C)', '[C@@H](OC(C)=O)', '[C@@H](C)', '[C@@H](C)', 'OC(=O)', '[C@@H]2', 'C)O', '[C@@H](C)', '[C@@H]1O', 'C(C)=O']","[559, 571, 732, 842, 794, 810, 670, 843, 781, 875, 690, 599, 784, 830, 547, 78, 146, 842, 799, 783, 783, 686, 805, 248, 783, 803, 203]"
